iter,buffer_size,mean_R,mean_raw_R,mean_oracle_raw_R,mean_len,mean_T,success_rate,q_loss,pi_loss,alpha,entropy,wall,reasons
7810,200000,0.6957111954689026,0.37112593640646563,0.5034748330861041,53.89306640625,154.34375,0.09033203125,0.008494192734360695,-0.7336902618408203,0.0029568159952759743,-5.797951698303223,22021.694868326187,pos_err_exceeded:1033|joint_limit:508|self_collision:258|max_steps:185
7820,200000,0.8436572551727295,0.47051539355620325,0.5509831512494487,57.64697265625,138.328125,0.15673828125,0.008578323759138584,-0.7415403127670288,0.0029508594889193773,-5.541818618774414,22049.858622312546,pos_err_exceeded:1246|joint_limit:339|max_steps:321|self_collision:139
7830,200000,0.770582914352417,0.4311483318334146,0.501430793399628,53.15185546875,138.734375,0.2119140625,0.005839453544467688,-0.7378820180892944,0.0029459528159350157,-5.835404872894287,22077.982564926147,pos_err_exceeded:1165|max_steps:434|joint_limit:240|self_collision:209
7840,200000,0.7573051452636719,0.41752898145997597,0.5364033365363843,49.88623046875,139.6875,0.2021484375,0.006488873157650232,-0.7414377331733704,0.002937037730589509,-5.892218112945557,22105.144290685654,pos_err_exceeded:1148|max_steps:414|joint_limit:411|self_collision:43
7850,200000,0.7963019013404846,0.4650256799107887,0.5417342538536065,56.42724609375,132.609375,0.21728515625,0.015984203666448593,-0.7582076787948608,0.002924926346167922,-5.872724533081055,22133.483717679977,pos_err_exceeded:1156|max_steps:445|joint_limit:317|self_collision:130
7860,200000,0.7900773882865906,0.4393160928608816,0.5300615230034409,54.96142578125,138.65625,0.16845703125,0.011518701910972595,-0.7284131050109863,0.0029177425894886255,-5.678564071655273,22160.541255950928,pos_err_exceeded:1233|max_steps:345|joint_limit:316|self_collision:117
7870,200000,0.7451499104499817,0.45278442054685425,0.5542663248859059,51.376953125,131.34375,0.22705078125,0.01365212257951498,-0.7530226707458496,0.002913573058322072,-5.942820072174072,22189.334423542023,pos_err_exceeded:1026|max_steps:465|joint_limit:425|self_collision:78
7880,200000,0.784146249294281,0.45999055166654085,0.5581600208433406,53.0625,135.859375,0.2177734375,0.008707670494914055,-0.7510174512863159,0.0029059378430247307,-5.594871520996094,22217.638554811478,pos_err_exceeded:1288|max_steps:446|joint_limit:218|self_collision:94
7890,200000,0.8230621814727783,0.429457473658563,0.5021692652258254,53.4365234375,149.1875,0.2119140625,0.005751304794102907,-0.7580937743186951,0.002899827901273966,-5.680438995361328,22244.93054509163,pos_err_exceeded:1251|max_steps:434|joint_limit:267|self_collision:94
7900,200000,0.8457656502723694,0.46265519755664086,0.5262023538477579,58.0615234375,144.84375,0.23974609375,0.004876403138041496,-0.7473786473274231,0.002894979901611805,-5.7797980308532715,22273.257497549057,pos_err_exceeded:1257|max_steps:491|joint_limit:265|init_ik_fail:32
7910,200000,0.7842483520507812,0.44258600282562655,0.5563550904070199,49.70654296875,135.015625,0.16845703125,0.009102988988161087,-0.7534012794494629,0.0028897554147988558,-6.121724605560303,22300.893837928772,pos_err_exceeded:1274|joint_limit:390|max_steps:345|self_collision:39
7920,200000,0.7797055840492249,0.37925741809127145,0.46189422161457105,46.50439453125,142.03125,0.1298828125,0.01126526203006506,-0.7298433780670166,0.0028843535110354424,-6.3057475090026855,22328.783001422882,pos_err_exceeded:1377|joint_limit:347|max_steps:266|self_collision:58
7930,200000,0.8380175828933716,0.4887846535363114,0.5814440397822609,56.2978515625,132.578125,0.23046875,0.009232415817677975,-0.747889518737793,0.002879747189581394,-5.803579330444336,22357.86381340027,pos_err_exceeded:1002|joint_limit:520|max_steps:472|self_collision:54
7940,200000,0.8092564344406128,0.40034874941198817,0.4615296588217131,47.353515625,130.21875,0.17138671875,0.0128041235730052,-0.7462078332901001,0.0028785965405404568,-5.959663391113281,22385.323830127716,pos_err_exceeded:1171|joint_limit:399|max_steps:351|self_collision:127
7950,200000,0.7839240431785583,0.5019494979494913,0.6429164527605784,61.2216796875,136.15625,0.25732421875,0.009533777832984924,-0.7689934968948364,0.0028793709352612495,-5.799683570861816,22413.76156783104,pos_err_exceeded:1097|max_steps:527|joint_limit:386|self_collision:38
7960,200000,0.8536771535873413,0.45858977354666963,0.5228713608862925,52.9091796875,135.578125,0.20556640625,0.007412801496684551,-0.7566491365432739,0.002873004646971822,-5.6061811447143555,22441.34930920601,pos_err_exceeded:1304|max_steps:421|joint_limit:305|self_collision:18
7970,200000,0.7873941659927368,0.4627888245722134,0.550231275316433,61.146484375,138.046875,0.24267578125,0.009480045177042484,-0.7478767037391663,0.0028618487995117903,-5.707666873931885,22469.380712270737,pos_err_exceeded:1104|max_steps:497|joint_limit:302|self_collision:145
7980,200000,0.7170771956443787,0.45409488019852207,0.5453553038884679,50.59912109375,125.84375,0.23828125,0.008616933599114418,-0.7649311423301697,0.002855553524568677,-6.087037086486816,22498.081275701523,pos_err_exceeded:922|max_steps:488|joint_limit:432|self_collision:138
7990,200000,0.8088066577911377,0.3914094404560521,0.43978232436820086,49.88525390625,145.34375,0.21337890625,0.014392208307981491,-0.746253490447998,0.0028501381166279316,-6.073331832885742,22526.48995947838,pos_err_exceeded:1138|max_steps:437|joint_limit:322|self_collision:120
8000,200000,0.8173865079879761,0.4168263109560637,0.5183113011919558,54.29150390625,144.84375,0.17041015625,0.012040046975016594,-0.7449827194213867,0.0028503271751105785,-5.964618682861328,22553.461656332016,pos_err_exceeded:1395|max_steps:349|joint_limit:304
8010,200000,0.7508857250213623,0.35987916833580946,0.47096627092222754,47.40087890625,142.984375,0.109375,0.012005784548819065,-0.7485982179641724,0.0028523257933557034,-5.8686065673828125,22581.870217323303,pos_err_exceeded:1143|joint_limit:477|max_steps:224|self_collision:197
8020,200000,0.7939739227294922,0.4218754091575445,0.4940658414873489,50.72314453125,137.96875,0.2041015625,0.012949757277965546,-0.7235008478164673,0.0028496000450104475,-5.568025588989258,22609.530425548553,pos_err_exceeded:1248|max_steps:418|joint_limit:222|self_collision:99
