task_id,T_rl,T_base,ratio_rl_base,term_rl,term_base
211,28,3,9.333333333333334,cone,jl
212,76,27,2.814814814814815,cone,cone
213,14,7,2.0,collision,collision
214,20,13,1.5384615384615385,jl,jl
215,25,3,8.333333333333334,cone,jl
216,46,16,2.875,jl,jl
217,29,17,1.7058823529411764,cone,cone
218,55,24,2.2916666666666665,cone,jl
219,22,9,2.4444444444444446,cone,jl
220,21,7,3.0,jl,jl
221,3,3,1.0,jl,jl
222,69,39,1.7692307692307692,jl,jl
223,36,35,1.0285714285714285,lateral,cone
224,30,11,2.727272727272727,cone,jl
225,15,22,0.6818181818181818,jl,jl
226,44,23,1.9130434782608696,cone,jl
227,82,11,7.454545454545454,cone,cone
228,38,15,2.533333333333333,jl,jl
229,64,21,3.0476190476190474,cone,cone
230,21,13,1.6153846153846154,jl,jl
231,9,7,1.2857142857142858,collision,jl
232,22,17,1.2941176470588236,lateral,cone
233,53,52,1.0192307692307692,lateral,lateral
234,69,51,1.3529411764705883,cone,cone
235,23,11,2.090909090909091,cone,jl
236,101,25,4.04,cone,cone
237,23,23,1.0,lateral,lateral
238,66,48,1.375,jl,cone
239,47,27,1.7407407407407407,cone,cone
240,28,6,4.666666666666667,jl,jl
241,43,10,4.3,lateral,jl
242,31,1,31.0,jl,jl
243,12,4,3.0,jl,jl
244,41,23,1.7826086956521738,cone,cone
245,17,5,3.4,cone,jl
246,17,7,2.4285714285714284,jl,jl
247,14,14,1.0,lateral,lateral
248,74,24,3.0833333333333335,cone,cone
249,8,8,1.0,collision,collision
250,63,32,1.96875,cone,jl
251,49,34,1.4411764705882353,cone,cone
252,62,10,6.2,cone,jl
253,49,29,1.6896551724137931,cone,cone
254,24,38,0.631578947368421,jl,jl
255,21,12,1.75,cone,jl
256,21,10,2.1,cone,jl
257,7,4,1.75,jl,jl
258,40,19,2.1052631578947367,jl,jl
259,20,20,1.0,cone,cone
260,48,29,1.6551724137931034,cone,cone
261,46,13,3.5384615384615383,cone,jl
262,18,10,1.8,cone,jl
263,17,26,0.6538461538461539,cone,cone
264,29,23,1.2608695652173914,cone,cone
265,8,10,0.8,jl,jl
266,35,31,1.1290322580645162,jl,cone
267,15,8,1.875,cone,jl
268,24,5,4.8,cone,jl
269,26,12,2.1666666666666665,cone,jl
270,73,10,7.3,cone,cone
271,21,2,10.5,cone,jl
272,84,40,2.1,cone,jl
273,22,3,7.333333333333333,cone,jl
274,105,54,1.9444444444444444,jl,cone
275,27,22,1.2272727272727273,lateral,cone
276,21,15,1.4,cone,jl
277,79,25,3.16,cone,cone
278,28,22,1.2727272727272727,cone,cone
279,37,21,1.7619047619047619,cone,cone
280,64,15,4.266666666666667,cone,jl
281,80,9,8.88888888888889,cone,jl
282,26,2,13.0,jl,jl
283,40,20,2.0,cone,cone
284,26,26,1.0,cone,cone
285,20,16,1.25,cone,cone
286,17,15,1.1333333333333333,cone,cone
287,17,7,2.4285714285714284,cone,jl
288,39,29,1.3448275862068966,cone,cone
289,96,28,3.4285714285714284,cone,cone
290,22,26,0.8461538461538461,jl,cone
291,25,2,12.5,jl,jl
292,18,14,1.2857142857142858,lateral,jl
293,24,6,4.0,jl,jl
294,61,4,15.25,lateral,jl
295,38,29,1.3103448275862069,cone,cone
296,44,21,2.0952380952380953,cone,cone
297,81,5,16.2,cone,jl
298,37,18,2.0555555555555554,cone,jl
299,28,18,1.5555555555555556,jl,jl
300,17,17,1.0,cone,cone
301,17,14,1.2142857142857142,cone,cone
302,29,21,1.380952380952381,jl,jl
303,34,8,4.25,jl,jl
304,27,27,1.0,lateral,lateral
305,16,24,0.6666666666666666,jl,jl
306,27,10,2.7,cone,jl
307,37,5,7.4,lateral,jl
